model_name,model_type,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_r2_mean,test_rmse,test_mae,test_mape_pct,test_smape_pct,test_r2
Extra Trees,sklearn,455.2685799087434,324.5840515488476,98.74914259931701,0.6379842451367324,192.41745859458786,36.32101971450341,18.922132330755666,18.167427815458996,0.6297579036810784
Gradient Boosting,sklearn,508.0407847614548,396.22868080473916,113.51422887175282,0.5447971257966987,210.68504590788325,47.29139329968671,27.017640253639367,24.984710402693626,0.5561213361997996
KNN Regressor,sklearn,647.3627454746165,309.6937150838514,142.89536307901452,0.18855378687666996,214.46280310546837,48.29465490063808,30.285408835681267,26.093599315093318,0.5400603993115787
Random Forest,sklearn,511.57137190773506,323.86026840816976,115.37627586654864,0.5374026776485599,216.29615822314125,42.301120183407875,24.543519697549353,22.610558024222538,0.532163115171638
HistGradient Boosting,sklearn,543.5287893640864,358.3071037188256,122.48912985919739,0.48129927517937204,225.58327910960585,53.77669828817309,24.82923846800236,22.000187316740334,0.4911255355252574
SVR (RBF),sklearn,708.2960041571887,223.69996695958403,148.2924785455606,-0.1515233572539132,237.35612530147355,62.210151173256136,30.223279630658144,25.681934959929226,0.4366247870759019
Similarity Graph Neural Network,gnn,461.87363784130486,291.78036577113437,104.63093266666147,0.5235411257793018,243.9898811496848,73.23444806980685,45.94900414234052,35.488920677378225,0.40469369999451066
MLP Regressor,sklearn,20245158863917.223,20242376467021.934,1293415755656.9163,-4.942278432801601e+21,590.7385499800247,126.15680303525238,53.4102360871047,32.621975173109306,-2.489695014384866
Ridge Regression,sklearn,108140411.28580761,108139463.88506892,6908977.327387485,-141031702525.1419,600.2345271890302,117.98814585352017,95.60345088900621,44.846041050349974,-2.602788725467891
Elastic Net,sklearn,54100132.44681046,54099156.51695305,3456469.4241198967,-35296638076.67921,663.1730017656405,123.45609634147176,97.02102969748071,44.73855241863544,-3.3979523801851474
Linear Regression,sklearn,436616.513140829,435524.35779848375,28045.19376407084,-2293283.4274534946,781.0688520327799,133.74450746820534,99.78462914270646,44.53220571258944,-5.100641234673062
